ISO,Year,Value
EGY,1970,8.252168296333501
EGY,1971,7.8852329941126
EGY,1972,7.95604708084861
EGY,1973,7.971883868152161
EGY,1974,8.083298312056419
EGY,1975,8.32273185340933
EGY,1976,7.6885034734251
EGY,1977,7.373362157168419
EGY,1978,7.083538479017639
EGY,1979,6.88289125026517
EGY,1980,6.602043658288291
EGY,1981,7.14998708417109
EGY,1982,7.17281213397367
EGY,1983,7.024398928323129
EGY,1984,6.9942883377987695
EGY,1985,7.03837267319404
EGY,1986,6.82441424321549
EGY,1987,6.07835667825336
EGY,1988,5.839997299197612
EGY,1989,5.70364064198582
EGY,1990,5.73602145210737
EGY,1991,5.7448190958281895
EGY,1992,5.4890161140528
EGY,1993,5.41027087844218
EGY,1994,5.44190531891774
EGY,1995,5.587273849345782
EGY,1996,5.76549532006843
EGY,1997,5.751580001195428
EGY,1998,5.9259669170233895
EGY,1999,6.075192718281372
EGY,2000,5.29901603200603
EGY,2001,5.2046629113617415
EGY,2002,5.08568501030292
EGY,2003,5.0085102095880405
EGY,2004,4.879205571177192
EGY,2005,5.12293786576537
EGY,2006,5.231633385
EGY,2007,5.1969415292963
EGY,2008,5.44531855500862
EGY,2009,5.32664869649587
EGY,2010,5.13106217061417
EGY,2011,4.7260188042876905
EGY,2012,4.82027809916466
EGY,2013,4.83335431460593
EGY,2014,4.7538416844688385
EGY,2015,4.834725649752079
SLV,1970,1.49260409048044
SLV,1971,1.55316779448774
SLV,1972,1.53135447460971
SLV,1973,1.62292838688344
SLV,1974,1.66372905755823
SLV,1975,1.71390873616799
SLV,1976,1.5994281206757
SLV,1977,1.63078033885115
SLV,1978,1.6709835490369498
SLV,1979,1.6099867117364195
SLV,1980,1.65074138636304
SLV,1981,1.66278765578422
SLV,1982,1.70991380220634
SLV,1983,1.83524246356236
SLV,1984,1.91334524735766
SLV,1985,1.91223561194053
SLV,1986,1.92538565789779
SLV,1987,1.98409896702947
SLV,1988,1.9146206559389696
SLV,1989,1.9325846800409496
SLV,1990,1.98100388692601
SLV,1991,2.17500482332338
SLV,1992,2.01846452032335
SLV,1993,2.00539388768818
SLV,1994,1.90292435048998
SLV,1995,1.93250935099751
SLV,1996,2.0394121551377
SLV,1997,2.05081632960281
SLV,1998,2.01330761283382
SLV,1999,1.98737559668768
SLV,2000,1.83151086760021
SLV,2001,1.85663657816073
SLV,2002,1.82716633545481
SLV,2003,1.80789903687744
SLV,2004,1.75487367313529
SLV,2005,1.62296919879173
SLV,2006,1.67775774028492
SLV,2007,1.6168898472475202
SLV,2008,1.60528526044414
SLV,2009,1.7132414010004602
SLV,2010,1.6753467138787
SLV,2011,1.67453322588581
SLV,2012,1.73804596529078
SLV,2013,1.7224410693789398
SLV,2014,1.66977575812084
SLV,2015,1.64589259853834
FJI,1970,6.3894145662066695
FJI,1971,5.4175826626345005
